fr,en,it,de,es,ko,kana
,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.
,":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!"
,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.
,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.
,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?
,Left,Left,Left,Left,Left,Left
,Right,Right,Right,Right,Right,Right
,":[name=SirMalo]:Finally, what is your name?",":[name=SirMalo]:Finally, what is your name?",":[name=SirMalo]:Finally, what is your name?",":[name=SirMalo]:Finally, what is your name?",":[name=SirMalo]:Finally, what is your name?",":[name=SirMalo]:Finally, what is your name?"
,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?
,":[name=SirMalo]:We're done, young Maker!",":[name=SirMalo]:We're done, young Maker!",":[name=SirMalo]:We're done, young Maker!",":[name=SirMalo]:We're done, young Maker!",":[name=SirMalo]:We're done, young Maker!",":[name=SirMalo]:We're done, young Maker!"
,:[name=SirMalo]:You can now experiment with this demo and discover the features of PokémonSDK!,:[name=SirMalo]:You can now experiment with this demo and discover the features of PokémonSDK!,:[name=SirMalo]:You can now experiment with this demo and discover the features of PokémonSDK!,:[name=SirMalo]:You can now experiment with this demo and discover the features of PokémonSDK!,:[name=SirMalo]:You can now experiment with this demo and discover the features of PokémonSDK!,:[name=SirMalo]:You can now experiment with this demo and discover the features of PokémonSDK!
,:[name=SirMalo]:Have fun!,:[name=SirMalo]:Have fun!,:[name=SirMalo]:Have fun!,:[name=SirMalo]:Have fun!,:[name=SirMalo]:Have fun!,:[name=SirMalo]:Have fun!
