Index,en,fr,es,it,de,ko,kana
10,[VAR PKNICK(0000)] uses Rock Climb!,[VAR PKNICK(0000)] utilise Escalade !,¡[VAR PKNICK(0000)] usó Treparrocas!,[VAR PKNICK(0000)] uses Rock Climb!,[VAR PKNICK(0000)] uses Rock Climb!,[VAR PKNICK(0000)] uses Rock Climb!,[VAR PKNICK(0000)] uses Rock Climb!
11,\n[1] gets on the Acro Bike.,\n[1] monte sur le Vélo Cross.,\n[1] montó en la Bici Acrobática.,\n[1] gets on the Acro Bike.,\n[1] gets on the Acro Bike.,\n[1] gets on the Acro Bike.,\n[1] gets on the Acro Bike.
12,[VAR PKNAME(0000)] used [VAR MOVE(0000)]!,[VAR PKNAME(0000)] utilise [VAR MOVE(0000)] !,¡[VAR PKNAME(0000)] usó [VAR MOVE(0000)]!,[VAR PKNAME(0000)] used [VAR MOVE(0000)]!,[VAR PKNAME(0000)] used [VAR MOVE(0000)]!,[VAR PKNAME(0000)] used [VAR MOVE(0000)]!,[VAR PKNAME(0000)] used [VAR MOVE(0000)]!
13,The wild [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,Le [VAR PKNAME(0000)] sauvage utilise [VAR MOVE(0000)] !,¡El [VAR PKNAME(0000)] salvaje usó [VAR MOVE(0000)]!,The wild [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,The wild [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,The wild [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,The wild [VAR PKNAME(0000)] used [VAR MOVE(0000)]!
14,The opposing [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,Le [VAR PKNAME(0000)] ennemi utilise [VAR MOVE(0000)] !,¡El [VAR PKNAME(0000)] enemigo usó [VAR MOVE(0000)]!,The opposing [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,The opposing [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,The opposing [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,The opposing [VAR PKNAME(0000)] used [VAR MOVE(0000)]!
15,\n[1] received [VAR PKNAME(0000)]!,\n[1] a obtenu [VAR PKNAME(0000)] !,¡\n[1] recibió un [VAR PKNAME(0000)]!,\n[1] received [VAR PKNAME(0000)]!,\n[1] received [VAR PKNAME(0000)]!,\n[1] received [VAR PKNAME(0000)]!,\n[1] received [VAR PKNAME(0000)]!
16,Would you like to give your Pokémon a nickname?,Voulez-vous donner un surnom à votre Pokémon ?,¿Quieres darle un mote al Pokémon recibido?,Would you like to give your Pokémon a nickname?,Would you like to give your Pokémon a nickname?,Would you like to give your Pokémon a nickname?,Would you like to give your Pokémon a nickname?
17,"So, you've decided its nickname will be [VAR PKNICK(0000)] ?","Donc, c'est décidé, son surnom sera [VAR PKNICK(0000)] ?","Entonces, ¿has decidido que su mote será [VAR PKNICK(0000)]?","So, you've decided its nickname will be [VAR PKNICK(0000)] ?","So, you've decided its nickname will be [VAR PKNICK(0000)] ?","So, you've decided its nickname will be [VAR PKNICK(0000)] ?","So, you've decided its nickname will be [VAR PKNICK(0000)] ?"
18,[VAR PKNICK(0000)] was sent to [VAR BOXNAME].,[VAR PKNICK(0000)] a été transféré dans [VAR BOXNAME].,[VAR PKNICK(0000)] fue enviado a [VAR BOXNAME].,[VAR PKNICK(0000)] was sent to [VAR BOXNAME].,[VAR PKNICK(0000)] was sent to [VAR BOXNAME].,[VAR PKNICK(0000)] was sent to [VAR BOXNAME].,[VAR PKNICK(0000)] was sent to [VAR BOXNAME].
19,There is something hidden in this direction!,,¡Hay algo escondido en esta dirección!,There is something hidden in this direction!,There is something hidden in this direction!,There is something hidden in this direction!,There is something hidden in this direction!
20,You can't catch anymore pokemon here,Vous ne pouvez plus capturer de Pokémon ici.,You can't catch anymore pokemon here,You can't catch anymore pokemon here,You can't catch anymore pokemon here,You can't catch anymore pokemon here,You can't catch anymore pokemon here
21,Your Pokémon gained Exp. Points!,Votre équipe gagne des Points d'Expérience !,Your Pokémon gained Exp. Points!,Your Pokémon gained Exp. Points!,Your Pokémon gained Exp. Points!,Your Pokémon gained Exp. Points!,Your Pokémon gained Exp. Points!
22,Effective,Efficace,Eficaz,Effective,Effective,Effective,Effective
23,Super effective,Super efficace,Supereficaz,Super effective,Super effective,Super effective,Super effective
24,No effect,Sans effet,Sin efecto,No effect,No effect,No effect,No effect
25,Not very effective,Peu efficace,No muy eficaz,Not very effective,Not very effective,Not very effective,Not very effective
26,[VAR PKNICK(0000)] uses Whirlpool.,[VAR PKNICK(0000)] utilise Siphon.,[VAR PKNICK(0000)] usa Torbellino.,[VAR PKNICK(0000)] uses Whirlpool.,[VAR PKNICK(0000)] uses Whirlpool.,[VAR PKNICK(0000)] uses Whirlpool.,[VAR PKNICK(0000)] uses Whirlpool.
27,The wall is very rocky...,La paroi est très rocailleuse...,La pared es muy rocosa...,The wall is very rocky...,The wall is very rocky...,The wall is very rocky...,The wall is very rocky...
